,start_end,actor_one,actor_two,area,articles,keywords,length,tone,a1_0,a1_1,a1_2,a1_3,a1_4,a2_0,a2_1,a2_2,a2_3,a2_4,k_0,k_1,k_2,k_3,k_4,start,end
10,20160717_20160724,"['MALE', 'CASTILE', 'AGRICULTURE SECRETARY', 'RESIDENTS', 'AUSTRALIA']","['COMPANY', 'CASTILE', 'REUTERS', 'MEXICAN', 'WASHINGTON']",1170.0,1593,"['officers', 'law', 'rouge', 'baton', '2020']",8,-5.0,MALE,CASTILE,AGRICULTURE SECRETARY,RESIDENTS,AUSTRALIA,COMPANY,CASTILE,REUTERS,MEXICAN,WASHINGTON,officers,law,rouge,baton,2020,20160717,20160724
11,20160803_20160806,"['ADVOCATE', 'PRESIDENTIAL CANDIDATE', 'GERMAN', 'ISLAMIC', 'COMMUNITY']","['RELIGION', 'TENNESSEE', 'THE WHITE HOUSE', 'CHAD', 'COMMUNITY']",505.0,356,"['man', 'hateful', 'baby', 'ohio', 'appeal']",4,-5.0,ADVOCATE,PRESIDENTIAL CANDIDATE,GERMAN,ISLAMIC,COMMUNITY,RELIGION,TENNESSEE,THE WHITE HOUSE,CHAD,COMMUNITY,man,hateful,baby,ohio,appeal,20160803,20160806
12,20160812_20160820,"['MALE', 'CINCINNATI', 'ORTHODOX CHRISTIAN', 'RESIDENTS', 'PRESIDENTIAL CANDIDATE']","['MALE', 'RELIGION', 'BRITISH', 'WASHINGTON', 'PRESIDENT']",724.0,1779,"['york', 'murder', 'imam', 'muslim', 'shot']",9,-6.0,MALE,CINCINNATI,ORTHODOX CHRISTIAN,RESIDENTS,PRESIDENTIAL CANDIDATE,MALE,RELIGION,BRITISH,WASHINGTON,PRESIDENT,york,murder,imam,muslim,shot,20160812,20160820
13,20160822_20160829,"['HAIFA', 'PRESIDENTIAL CANDIDATE', 'IRAN', 'ASSOCIATED PRESS', 'IOWA']","['POLITICIAN', 'MEXICAN', 'WASHINGTON', 'WAITRESS', 'PRESIDENT']",520.0,878,"['white', 'man', 'blackwell', 'clinton', 'hillary']",8,-5.0,HAIFA,PRESIDENTIAL CANDIDATE,IRAN,ASSOCIATED PRESS,IOWA,POLITICIAN,MEXICAN,WASHINGTON,WAITRESS,PRESIDENT,white,man,blackwell,clinton,hillary,20160822,20160829
14,20160831_20160902,"['VETERANS WHO FOUGHT', 'PRESIDENT', 'DETECTIVE', 'EUROPEAN', 'ISLAMIC']","['JEWISH', 'MEXICAN', 'ADVOCATE', 'PRESIDENT', 'GOVERNMENT']",379.0,648,"['white', 'lives', 'matter', 'law', 'movement']",3,-5.0,VETERANS WHO FOUGHT,PRESIDENT,DETECTIVE,EUROPEAN,ISLAMIC,JEWISH,MEXICAN,ADVOCATE,PRESIDENT,GOVERNMENT,white,lives,matter,law,movement,20160831,20160902
15,20160906_20160911,"['JEWISH', 'COMPANY', 'PRESIDENT', 'MAYOR', 'CRIMINAL']","['JEWISH', 'PERPETRATOR', 'PRESIDENTIAL CANDIDATE', 'IRAN', 'ANTIOCH']",759.0,821,"['man', 'women', 'called', 'law', 'blue']",6,-6.0,JEWISH,COMPANY,PRESIDENT,MAYOR,CRIMINAL,JEWISH,PERPETRATOR,PRESIDENTIAL CANDIDATE,IRAN,ANTIOCH,man,women,called,law,blue,20160906,20160911
16,20160912_20160914,"['MALE', 'WASHINGTON', 'PRESIDENT', 'DAVID THOMPSON', 'PROSECUTING ATTORNEY']","['WASHINGTON', 'THE WHITE HOUSE', 'NEW YORK CITY', 'AUSTRIA', 'UNIVERSITY']",1286.0,955,"['muslim', 'set', 'york', 'mosque', 'man']",3,-6.0,MALE,WASHINGTON,PRESIDENT,DAVID THOMPSON,PROSECUTING ATTORNEY,WASHINGTON,THE WHITE HOUSE,NEW YORK CITY,AUSTRIA,UNIVERSITY,muslim,set,york,mosque,man,20160912,20160914
17,20160922_20160924,"['ADVOCATE', 'LAWMAKER', 'PRESIDENTIAL CANDIDATE', 'GOVERNMENT', 'GOVERNMENT SPOKESMAN']","['JEWISH', 'GOVERNMENT', 'THE US', 'PENNSYLVANIA', 'COLUMNIST']",413.0,728,"['white', 'protesters', 'pittenger', 'charlotte', 'congressman']",3,-6.0,ADVOCATE,LAWMAKER,PRESIDENTIAL CANDIDATE,GOVERNMENT,GOVERNMENT SPOKESMAN,JEWISH,GOVERNMENT,THE US,PENNSYLVANIA,COLUMNIST,white,protesters,pittenger,charlotte,congressman,20160922,20160924
18,20160927_20160929,"['PRESIDENT', 'ANTI DEFAMATION LEAGUE', 'PRESIDENTIAL CANDIDATE', 'GOVERNMENT', 'MAYOR']","['LEGISLATOR', 'WASHINGTON', 'CRIMINAL', 'MEDIA', 'PRISON']",534.0,884,"['white', 'york', 'attacked', 'folsom', 'onby']",3,-5.0,PRESIDENT,ANTI DEFAMATION LEAGUE,PRESIDENTIAL CANDIDATE,GOVERNMENT,MAYOR,LEGISLATOR,WASHINGTON,CRIMINAL,MEDIA,PRISON,white,york,attacked,folsom,onby,20160927,20160929
19,20161010_20161012,"['MALE', 'AUSTRALIA', 'PRESIDENT', 'ANTI DEFAMATION LEAGUE', 'CRIMINAL']","['MISSOURI', 'TEXAS', 'CHAD', 'NEIGHBORHOOD', 'COMMUNITY']",562.0,638,"['white', 'man', 'women', 'clinton', 'khalsa']",3,-6.0,MALE,AUSTRALIA,PRESIDENT,ANTI DEFAMATION LEAGUE,CRIMINAL,MISSOURI,TEXAS,CHAD,NEIGHBORHOOD,COMMUNITY,white,man,women,clinton,khalsa,20161010,20161012
20,20161108_20161126,"['JEWISH', 'COMPANY', 'RELIGION', 'ADVOCATE', 'LAWMAKER']","['COMPANY', 'CASTILE', 'WASHINGTON', 'CRIMINAL', 'STATE ATTORNEY GENERAL']",1520.0,7490,"['election', 'white', 'incidents', 'muslims', 'state']",19,-5.0,JEWISH,COMPANY,RELIGION,ADVOCATE,LAWMAKER,COMPANY,CASTILE,WASHINGTON,CRIMINAL,STATE ATTORNEY GENERAL,election,white,incidents,muslims,state,20161108,20161126
21,20161127_20161204,"['RELIGION', 'CINCINNATI', 'CABINET', 'PRESIDENT', 'GOVERNMENT']","['MALE', 'REUTERS', 'ADVOCATE', 'RESIDENTS', 'WASHINGTON']",1465.0,1847,"['islamic', 'letter', 'muslims', 'incidents', 'reported']",8,-5.0,RELIGION,CINCINNATI,CABINET,PRESIDENT,GOVERNMENT,MALE,REUTERS,ADVOCATE,RESIDENTS,WASHINGTON,islamic,letter,muslims,incidents,reported,20161127,20161204
22,20161221_20161224,"['COMPANY', 'LAWMAKER', 'PRESIDENT', 'MAYOR', 'CRIMINAL']","['JEWISH', 'MALE', 'TENNESSEE', 'GOVERNMENT', 'MAYOR']",689.0,987,"['muslim', 'state', 'man', 'woman', 'york']",4,-6.0,COMPANY,LAWMAKER,PRESIDENT,MAYOR,CRIMINAL,JEWISH,MALE,TENNESSEE,GOVERNMENT,MAYOR,muslim,state,man,woman,york,20161221,20161224
23,20170104_20170108,"['MALE', 'PERPETRATOR', 'LAWMAKER', 'PRESIDENT', 'ASSOCIATED PRESS']","['MALE', 'PRESIDENT', 'MILITARY BASE', 'GOVERNMENT', 'MISSOURI']",745.0,4027,"['chicago', 'man', 'victim', 'suspects', 'video']",5,-8.0,MALE,PERPETRATOR,LAWMAKER,PRESIDENT,ASSOCIATED PRESS,MALE,PRESIDENT,MILITARY BASE,GOVERNMENT,MISSOURI,chicago,man,victim,suspects,video,20170104,20170108
24,20170119_20170213,"['COMPANY', 'WASHINGTON', 'RUSSIA', 'MAYOR', 'CRIMINAL']","['WASHINGTON', 'CABINET', 'MISSOURI', 'DETECTIVE', 'AUSTRIA']",1342.0,5856,"['man', 'muslim', 'law', 'speech', 'federal']",26,-5.0,COMPANY,WASHINGTON,RUSSIA,MAYOR,CRIMINAL,WASHINGTON,CABINET,MISSOURI,DETECTIVE,AUSTRIA,man,muslim,law,speech,federal,20170119,20170213
25,20170221_20170223,"['JEWISH', 'PRESIDENT', 'CANADA', 'DOCTOR', 'HOUSTON']","['JEWISH', 'COMPANY', 'PRESIDENT', 'KANSAS', 'UNIVERSITY']",2266.0,1246,"['shooting', 'kansas', 'jewish', 'threats', 'white']",3,-6.0,JEWISH,PRESIDENT,CANADA,DOCTOR,HOUSTON,JEWISH,COMPANY,PRESIDENT,KANSAS,UNIVERSITY,shooting,kansas,jewish,threats,white,20170221,20170223
26,20170319_20170321,"['JEWISH', 'MOUNT CARMEL', 'PERPETRATOR', 'PRESIDENT', 'MURRAY']","['JEWISH', 'WASHINGTON', 'THE WHITE HOUSE', 'THE US', 'MISSOURI']",610.0,734,"['community', 'indian', 'rally', 'dees', 'incited']",3,-6.0,JEWISH,MOUNT CARMEL,PERPETRATOR,PRESIDENT,MURRAY,JEWISH,WASHINGTON,THE WHITE HOUSE,THE US,MISSOURI,community,indian,rally,dees,incited,20170319,20170321
27,20170418_20170421,"['JEWISH', 'PRESIDENT', 'DETECTIVE', 'FIRE MARSHAL', 'SECURITY OFFICIAL']","['MALE', 'FIRE MARSHAL', 'ISLAMIC', 'AUTHORITIES', 'DENVER']",644.0,2147,"['shooting', 'white', 'fresno', 'muhammad', 'killed']",4,-6.0,JEWISH,PRESIDENT,DETECTIVE,FIRE MARSHAL,SECURITY OFFICIAL,MALE,FIRE MARSHAL,ISLAMIC,AUTHORITIES,DENVER,shooting,white,fresno,muhammad,killed,20170418,20170421
28,20170424_20170429,"['JEWISH', 'HINDU', 'ADVOCATE', 'RESIDENTS', 'PRESIDENT']","['JEWISH', 'MALE', 'COMPANY', 'PRESIDENT', 'GOVERNMENT']",778.0,1068,"['speech', 'community', 'white', 'incidents', 'free']",6,-4.0,JEWISH,HINDU,ADVOCATE,RESIDENTS,PRESIDENT,JEWISH,MALE,COMPANY,PRESIDENT,GOVERNMENT,speech,community,white,incidents,free,20170424,20170429
29,20170501_20170505,"['JEWISH', 'COMPANY', 'LAWMAKER', 'WASHINGTON', 'PRESIDENT']","['POLITICIAN', 'PRESIDENT', 'RUSSIA', 'THE US', 'COUNSEL']",676.0,812,"['law', 'lawmakers', 'religious', 'treene', 'university']",5,-6.0,JEWISH,COMPANY,LAWMAKER,WASHINGTON,PRESIDENT,POLITICIAN,PRESIDENT,RUSSIA,THE US,COUNSEL,law,lawmakers,religious,treene,university,20170501,20170505
30,20170514_20170520,"['OKLAHOMA', 'ADVOCATE', 'PRESIDENT', 'A US', 'THE WHITE HOUSE']","['JEWISH', 'LAWMAKER', 'ADVISORY BOARD', 'PRESIDENT', 'THE WHITE HOUSE']",577.0,790,"['transgender', 'man', 'sentenced', 'williamson', 'federal']",7,-7.0,OKLAHOMA,ADVOCATE,PRESIDENT,A US,THE WHITE HOUSE,JEWISH,LAWMAKER,ADVISORY BOARD,PRESIDENT,THE WHITE HOUSE,transgender,man,sentenced,williamson,federal,20170514,20170520
